TimestampLocal,WP_SF_MVPS1.PM1,WP_SF_MVPS2.PM1,WP_SF_MVPS3.PM1,WP_SF_MVPS4.PM1,AVG in-plane irradiance,Ambient Temperature Celsius,Back-of-Module Temperature (deg C),Back-of-Module Temperature 2 (deg C),Irradiance Global (W/m^2),Irradiance Plane-of-Array (W/m^2),Rainfall (mm),Weather Atmospheric Pressure,Weather Relative Humidity,Wind Direction (Hour Interval),Wind Speed
2020-01-08 13:30:00,1516.2919921875,1577.90246582031,1508.05029296875,154.94938659668,1441.0,18.1,24.2,26.3,1162.0,1441.0,76.4,1010.0,50.0,284.0,6.0
2020-01-08 01:45:00,0.0,0.0,0.0,0.0,0.0,7.8,4.5,3.8,0.0,0.0,76.4,1013.0,81.0,308.0,1.0
2020-01-08 13:45:00,1562.63757324219,1618.0529785156302,1549.2587890625,153.166213989258,1485.0,18.3,23.8,26.0,1131.0,1485.0,76.4,1009.0,51.0,317.0,8.0
2020-01-08 02:00:00,0.0,0.0,0.0,0.0,0.0,7.5,4.1,3.3,0.0,0.0,76.4,1013.0,82.0,314.0,1.0
2020-01-08 14:00:00,1599.0075683593802,1662.1115722656302,1591.84240722656,150.658065795898,1520.0,18.2,23.4,25.6,1088.0,1520.0,76.8,1009.0,48.0,298.0,10.0
2020-01-08 02:15:00,0.0,0.0,0.0,0.0,0.0,7.5,4.1,3.3,0.0,0.0,76.4,1013.0,82.0,288.0,1.0
2020-01-08 14:15:00,1635.65026855469,1691.16687011719,1621.7307128906302,147.11007690429702,1556.0,18.3,23.4,25.4,1042.0,1556.0,76.8,1009.0,48.0,325.0,9.0
2020-01-08 02:30:00,0.0,0.0,0.0,0.0,0.0,7.4,4.3,3.7,0.0,0.0,76.4,1012.0,83.0,335.0,2.0
2020-01-08 14:30:00,1652.8298339843802,1706.55090332031,1634.638671875,141.72824096679702,1571.0,,23.3,25.5,977.0,1571.0,,,,,
2020-01-08 02:45:00,0.0,0.0,0.0,0.0,0.0,8.1,5.5,5.1,0.0,0.0,76.4,1012.0,82.0,341.0,3.0
2020-01-08 14:45:00,1679.13757324219,1739.443359375,1663.26525878906,137.135635375977,1600.0,18.1,22.9,25.0,920.0,1600.0,78.4,1009.0,48.0,325.0,9.0
2020-01-08 03:00:00,0.0,0.0,0.0,0.0,0.0,8.5,6.0,5.8,0.0,0.0,76.4,1012.0,81.0,339.0,6.0
2020-01-08 15:00:00,1685.06286621094,1749.94775390625,1657.71618652344,130.900772094727,1608.0,18.0,23.3,25.9,844.0,1608.0,78.6,1009.0,47.0,309.0,6.0
2020-01-08 03:15:00,0.0,0.0,0.0,0.0,0.0,9.0,7.0,6.8,0.0,0.0,76.4,1012.0,78.0,342.0,5.0
2020-01-08 15:15:00,1671.74853515625,1725.42907714844,1635.25329589844,122.591445922852,1596.0,17.9,23.3,25.8,761.0,1596.0,78.6,1009.0,48.0,323.0,5.0
2020-01-08 03:30:00,0.0,0.0,0.0,0.0,0.0,8.9,6.8,6.5,0.0,0.0,76.4,1012.0,78.0,330.0,4.0
2020-01-08 15:30:00,1660.20166015625,1709.68493652344,1598.33068847656,114.641639709473,1591.0,17.7,22.8,25.2,678.0,1591.0,78.6,1009.0,48.0,330.0,8.0
2020-01-08 03:45:00,0.0,0.0,0.0,0.0,0.0,9.1,7.2,6.9,0.0,0.0,76.4,1012.0,77.0,341.0,4.0
2020-01-08 15:45:00,1612.017578125,1664.47509765625,1526.47741699219,104.642776489258,1551.0,,23.5,26.3,584.0,1551.0,,,,,
2020-01-08 04:00:00,0.0,0.0,0.0,0.0,0.0,9.3,7.4,7.2,0.0,0.0,76.4,1012.0,77.0,335.0,4.0
2020-01-08 16:00:00,1545.86291503906,1594.47937011719,1436.64892578125,93.6657028198242,1497.0,17.2,22.2,24.9,498.0,1497.0,78.6,1009.0,51.0,327.0,4.0
2020-01-08 04:15:00,0.0,0.0,0.0,0.0,0.0,9.1,7.0,6.7,0.0,0.0,76.4,1012.0,78.0,335.0,4.0
2020-01-08 16:15:00,1126.9658203125,1430.08898925781,1260.38659667969,57.0173263549805,1393.0,17.0,21.4,23.7,416.0,1393.0,78.6,1009.0,52.0,324.0,6.0
2020-01-08 04:30:00,0.0,0.0,0.0,0.0,0.0,8.7,6.4,6.0,0.0,0.0,76.4,1012.0,79.0,330.0,4.0
2020-01-08 16:30:00,856.848754882813,1071.33337402344,904.990600585938,45.7374496459961,1049.0,16.6,19.8,21.5,319.0,1049.0,78.8,1009.0,54.0,322.0,7.0
2020-01-08 04:45:00,0.0,0.0,0.0,0.0,0.0,8.5,6.3,5.9,0.0,0.0,76.4,1012.0,79.0,327.0,3.0
2020-01-08 16:45:00,551.76806640625,703.7699584960941,553.7015380859381,31.8359355926514,711.0,16.2,18.3,19.3,225.0,711.0,78.8,1009.0,55.0,307.0,7.0
2020-01-08 05:00:00,0.0,0.0,0.0,0.0,0.0,8.1,5.9,5.6,0.0,0.0,76.4,1012.0,80.0,317.0,3.0
2020-01-08 17:00:00,291.636444091797,349.545043945313,253.297332763672,16.6760349273682,400.0,15.8,16.6,16.9,139.0,400.0,78.8,1009.0,58.0,315.0,7.0
2020-01-08 05:15:00,0.0,0.0,0.0,0.0,0.0,8.3,6.5,6.3,0.0,0.0,76.4,1012.0,81.0,320.0,3.0
2020-01-08 17:15:00,37.8878211975098,37.66062545776371,32.822521209716804,5.26982736587524,37.0,15.1,14.1,13.7,37.0,37.0,78.8,1009.0,60.0,311.0,10.0
2020-01-08 05:30:00,0.0,0.0,0.0,0.0,0.0,8.9,7.2,7.0,0.0,0.0,76.4,1012.0,79.0,329.0,4.0
2020-01-08 17:30:00,10.5988721847534,11.124831199646001,10.5758743286133,1.23096513748169,15.0,14.7,13.3,12.8,14.0,15.0,78.8,1009.0,61.0,314.0,8.0
2020-01-08 05:45:00,0.0,0.0,0.0,0.0,0.0,9.0,7.3,7.1,0.0,0.0,76.4,1012.0,79.0,323.0,3.0
2020-01-08 17:45:00,0.0,0.0,0.0,0.0,3.0,,12.2,11.9,0.0,3.0,,,,,
